year,team_name,team_code,performance,source,ccs,ccs_source_years,prior_windows,team_code_rank,fifa_rank,fifa_points,ranking_official_date,rank_bucket
1998,Argentina,ARG,quarter-finals,Fjelstul qualified_teams.csv,1,1990,1990;1994,ARG,6.0,60.0,1998-05-20,6-10
1998,Austria,AUT,group stage,Fjelstul qualified_teams.csv,0,,1990;1994,AUT,31.0,52.0,1998-05-20,26+
1998,Belgium,BEL,group stage,Fjelstul qualified_teams.csv,0,,1990;1994,BEL,36.0,50.0,1998-05-20,26+
1998,Brazil,BRA,final,Fjelstul qualified_teams.csv,1,1990;1994,1990;1994,BRA,1.0,72.0,1998-05-20,Top 5
1998,Bulgaria,BGR,group stage,Fjelstul qualified_teams.csv,1,1994,1990;1994,BUL,35.0,50.0,1998-05-20,26+
1998,Cameroon,CMR,group stage,Fjelstul qualified_teams.csv,0,,1990;1994,CMR,49.0,45.0,1998-05-20,26+
1998,Chile,CHL,round of 16,Fjelstul qualified_teams.csv,0,,1990;1994,CHI,9.0,59.0,1998-05-20,6-10
1998,Colombia,COL,group stage,Fjelstul qualified_teams.csv,0,,1990;1994,COL,10.0,58.0,1998-05-20,6-10
1998,Croatia,HRV,third-place match,Fjelstul qualified_teams.csv,0,,1990;1994,CRO,19.0,56.0,1998-05-20,16-25
1998,Denmark,DNK,quarter-finals,Fjelstul qualified_teams.csv,0,,1990;1994,DEN,27.0,53.0,1998-05-20,26+
1998,England,ENG,round of 16,Fjelstul qualified_teams.csv,1,1990,1990;1994,ENG,5.0,60.0,1998-05-20,Top 5
1998,France,FRA,final,Fjelstul qualified_teams.csv,0,,1990;1994,FRA,18.0,56.0,1998-05-20,16-25
1998,Germany,DEU,quarter-finals,Fjelstul qualified_teams.csv,1,1990,1990;1994,GER,2.0,65.0,1998-05-20,Top 5
1998,Iran,IRN,group stage,Fjelstul qualified_teams.csv,0,,1990;1994,IRN,42.0,48.0,1998-05-20,26+
1998,Italy,ITA,quarter-finals,Fjelstul qualified_teams.csv,1,1990;1994,1990;1994,ITA,14.0,57.0,1998-05-20,11-15
1998,Jamaica,JAM,group stage,Fjelstul qualified_teams.csv,0,,1990;1994,JAM,30.0,52.0,1998-05-20,26+
1998,Japan,JPN,group stage,Fjelstul qualified_teams.csv,0,,1990;1994,JPN,12.0,58.0,1998-05-20,11-15
1998,Mexico,MEX,round of 16,Fjelstul qualified_teams.csv,0,,1990;1994,MEX,4.0,61.0,1998-05-20,Top 5
1998,Morocco,MAR,group stage,Fjelstul qualified_teams.csv,0,,1990;1994,MAR,13.0,57.0,1998-05-20,11-15
1998,Netherlands,NLD,third-place match,Fjelstul qualified_teams.csv,1,1990;1994,1990;1994,NED,25.0,54.0,1998-05-20,16-25
1998,Nigeria,NGA,round of 16,Fjelstul qualified_teams.csv,1,1994,1990;1994,NGA,74.0,37.0,1998-05-20,26+
1998,Norway,NOR,round of 16,Fjelstul qualified_teams.csv,0,,1990;1994,NOR,7.0,60.0,1998-05-20,6-10
1998,Paraguay,PRY,round of 16,Fjelstul qualified_teams.csv,0,,1990;1994,PAR,29.0,52.0,1998-05-20,26+
1998,Romania,ROU,round of 16,Fjelstul qualified_teams.csv,0,,1990;1994,ROU,22.0,55.0,1998-05-20,16-25
1998,Saudi Arabia,SAU,group stage,Fjelstul qualified_teams.csv,0,,1990;1994,KSA,34.0,51.0,1998-05-20,26+
1998,Scotland,SCO,group stage,Fjelstul qualified_teams.csv,0,,1990;1994,SCO,41.0,48.0,1998-05-20,26+
1998,South Africa,ZAF,group stage,Fjelstul qualified_teams.csv,0,,1990;1994,RSA,24.0,55.0,1998-05-20,16-25
1998,South Korea,KOR,group stage,Fjelstul qualified_teams.csv,0,,1990;1994,KOR,20.0,55.0,1998-05-20,16-25
1998,Spain,ESP,group stage,Fjelstul qualified_teams.csv,1,1994,1990;1994,ESP,15.0,56.0,1998-05-20,11-15
1998,Tunisia,TUN,group stage,Fjelstul qualified_teams.csv,0,,1990;1994,TUN,21.0,55.0,1998-05-20,16-25
1998,USA,USA,group stage,Fjelstul qualified_teams.csv,1,1994,1990;1994,USA,11.0,58.0,1998-05-20,11-15
1998,Yugoslavia,YUG,round of 16,Fjelstul qualified_teams.csv,1,1990,1990;1994,YUG,8.0,59.0,1998-05-20,6-10
2002,Argentina,ARG,group stage,Fjelstul qualified_teams.csv,0,,1994;1998,ARG,3.0,784.0,2002-05-15,Top 5
2002,Belgium,BEL,round of 16,Fjelstul qualified_teams.csv,0,,1994;1998,BEL,23.0,653.0,2002-05-15,16-25
2002,Brazil,BRA,final,Fjelstul qualified_teams.csv,1,1994;1998,1994;1998,BRA,2.0,784.0,2002-05-15,Top 5
2002,Cameroon,CMR,group stage,Fjelstul qualified_teams.csv,0,,1994;1998,CMR,17.0,672.0,2002-05-15,16-25
2002,China,CHN,group stage,Fjelstul qualified_teams.csv,0,,1994;1998,,50.0,566.0,2002-05-15,26+
2002,Costa Rica,CRI,group stage,Fjelstul qualified_teams.csv,0,,1994;1998,CRC,29.0,643.0,2002-05-15,26+
2002,Croatia,HRV,group stage,Fjelstul qualified_teams.csv,1,1998,1994;1998,CRO,21.0,655.0,2002-05-15,16-25
2002,Denmark,DNK,round of 16,Fjelstul qualified_teams.csv,1,1998,1994;1998,DEN,20.0,657.0,2002-05-15,16-25
2002,Ecuador,ECU,group stage,Fjelstul qualified_teams.csv,0,,1994;1998,ECU,36.0,624.0,2002-05-15,26+
2002,England,ENG,quarter-finals,Fjelstul qualified_teams.csv,0,,1994;1998,ENG,12.0,694.0,2002-05-15,11-15
2002,France,FRA,group stage,Fjelstul qualified_teams.csv,1,1998,1994;1998,FRA,1.0,802.0,2002-05-15,Top 5
2002,Germany,DEU,final,Fjelstul qualified_teams.csv,0,,1994;1998,GER,11.0,695.0,2002-05-15,11-15
2002,Italy,ITA,round of 16,Fjelstul qualified_teams.csv,1,1994;1998,1994;1998,ITA,6.0,717.0,2002-05-15,6-10
2002,Japan,JPN,round of 16,Fjelstul qualified_teams.csv,0,,1994;1998,JPN,32.0,634.0,2002-05-15,26+
2002,Mexico,MEX,round of 16,Fjelstul qualified_teams.csv,0,,1994;1998,MEX,7.0,716.0,2002-05-15,6-10
2002,Nigeria,NGA,group stage,Fjelstul qualified_teams.csv,1,1994,1994;1998,NGA,27.0,644.0,2002-05-15,26+
2002,Paraguay,PRY,round of 16,Fjelstul qualified_teams.csv,1,1998,1994;1998,PAR,18.0,671.0,2002-05-15,16-25
