year,team_name,team_code,fifa_rank,fifa_points,ccs,performance,ranking_official_date
1998,Colombia,COL,10.0,58.0,0,group stage,1998-05-20
1998,Croatia,HRV,19.0,56.0,0,third-place match,1998-05-20
2002,Argentina,ARG,3.0,784.0,0,group stage,2002-05-15
2002,Portugal,PRT,5.0,726.0,0,group stage,2002-05-15
2002,Germany,DEU,11.0,695.0,0,final,2002-05-15
2002,England,ENG,12.0,694.0,0,quarter-finals,2002-05-15
2006,Spain,ESP,5.0,756.0,0,round of 16,2006-05-17
2006,Portugal,PRT,7.0,750.0,0,third-place match,2006-05-17
2006,Argentina,ARG,9.0,746.0,0,quarter-finals,2006-05-17
2010,Netherlands,NLD,4.0,1231.0,0,final,2010-05-26
2010,Argentina,ARG,7.0,1076.0,0,quarter-finals,2010-05-26
2010,Uruguay,URY,16.0,899.0,0,third-place match,2010-05-26
2014,Argentina,ARG,5.0,1175.0,0,final,2014-06-05
2014,Colombia,COL,8.0,1137.0,0,quarter-finals,2014-06-05
2014,England,ENG,10.0,1090.0,0,group stage,2014-06-05
2014,Belgium,BEL,11.0,1074.0,0,quarter-finals,2014-06-05
2014,Croatia,HRV,18.0,903.0,0,group stage,2014-06-05
2018,England,ENG,12.0,1051.0,0,third-place match,2018-06-07
2018,Colombia,COL,16.0,986.0,0,round of 16,2018-06-07
2018,Croatia,HRV,20.0,945.0,0,final,2018-06-07
2022,Spain,ESP,7.0,1715.22,0,round of 16,2022-10-06
2022,Portugal,PRT,9.0,1676.56,0,quarter-finals,2022-10-06
