year,team_name,team_code,fifa_rank,fifa_points,ccs,performance,ranking_official_date
1998,Mexico,MEX,4.0,61.0,0,round of 16,1998-05-20
1998,Norway,NOR,7.0,60.0,0,round of 16,1998-05-20
1998,Chile,CHL,9.0,59.0,0,round of 16,1998-05-20
1998,Colombia,COL,10.0,58.0,0,group stage,1998-05-20
1998,Japan,JPN,12.0,58.0,0,group stage,1998-05-20
1998,Morocco,MAR,13.0,57.0,0,group stage,1998-05-20
1998,France,FRA,18.0,56.0,0,final,1998-05-20
1998,Croatia,HRV,19.0,56.0,0,third-place match,1998-05-20
1998,South Korea,KOR,20.0,55.0,0,group stage,1998-05-20
2002,Argentina,ARG,3.0,784.0,0,group stage,2002-05-15
2002,Portugal,PRT,5.0,726.0,0,group stage,2002-05-15
2002,Mexico,MEX,7.0,716.0,0,round of 16,2002-05-15
2002,Germany,DEU,11.0,695.0,0,final,2002-05-15
2002,England,ENG,12.0,694.0,0,quarter-finals,2002-05-15
2002,Republic of Ireland,IRL,15.0,674.0,0,round of 16,2002-05-15
2002,Cameroon,CMR,17.0,672.0,0,group stage,2002-05-15
2006,Czech Republic,CZE,2.0,772.0,0,group stage,2006-05-17
2006,Mexico,MEX,4.0,758.0,0,round of 16,2006-05-17
2006,Spain,ESP,5.0,756.0,0,round of 16,2006-05-17
2006,Portugal,PRT,7.0,750.0,0,third-place match,2006-05-17
2006,Argentina,ARG,9.0,746.0,0,quarter-finals,2006-05-17
2006,Sweden,SWE,16.0,709.0,0,round of 16,2006-05-17
2006,Japan,JPN,18.0,705.0,0,group stage,2006-05-17
2010,Netherlands,NLD,4.0,1231.0,0,final,2010-05-26
2010,Argentina,ARG,7.0,1076.0,0,quarter-finals,2010-05-26
2010,Greece,GRC,13.0,964.0,0,group stage,2010-05-26
2010,Serbia,SRB,15.0,947.0,0,group stage,2010-05-26
2010,Uruguay,URY,16.0,899.0,0,third-place match,2010-05-26
2010,Mexico,MEX,17.0,895.0,0,round of 16,2010-05-26
2010,Chile,CHL,18.0,888.0,0,round of 16,2010-05-26
2010,Cameroon,CMR,19.0,887.0,0,group stage,2010-05-26
2014,Argentina,ARG,5.0,1175.0,0,final,2014-06-05
2014,Switzerland,CHE,6.0,1149.0,0,round of 16,2014-06-05
2014,Colombia,COL,8.0,1137.0,0,quarter-finals,2014-06-05
2014,England,ENG,10.0,1090.0,0,group stage,2014-06-05
2014,Belgium,BEL,11.0,1074.0,0,quarter-finals,2014-06-05
2014,Greece,GRC,12.0,1064.0,0,round of 16,2014-06-05
2014,USA,USA,13.0,1035.0,0,round of 16,2014-06-05
2014,Chile,CHL,14.0,1026.0,0,round of 16,2014-06-05
2014,Croatia,HRV,18.0,903.0,0,group stage,2014-06-05
2014,Russia,RUS,19.0,893.0,0,group stage,2014-06-05
2014,Mexico,MEX,20.0,882.0,0,round of 16,2014-06-05
2018,Poland,POL,8.0,1183.0,0,group stage,2018-06-07
2018,Peru,PER,11.0,1125.0,0,group stage,2018-06-07
2018,Denmark,DNK,12.0,1051.0,0,round of 16,2018-06-07
2018,England,ENG,12.0,1051.0,0,third-place match,2018-06-07
2018,Mexico,MEX,15.0,989.0,0,round of 16,2018-06-07
2018,Colombia,COL,16.0,986.0,0,round of 16,2018-06-07
2018,Croatia,HRV,20.0,945.0,0,final,2018-06-07
2022,Spain,ESP,7.0,1715.22,0,round of 16,2022-10-06
2022,Portugal,PRT,9.0,1676.56,0,quarter-finals,2022-10-06
2022,Mexico,MEX,13.0,1644.89,0,group stage,2022-10-06
2022,USA,USA,16.0,1627.48,0,round of 16,2022-10-06
2022,Senegal,SEN,18.0,1584.38,0,round of 16,2022-10-06
2022,Wales,WAL,19.0,1569.82,0,group stage,2022-10-06
2022,Iran,IRN,20.0,1564.61,0,group stage,2022-10-06
