year,ranking_schedule_id,ranking_official_date,team_name,team_code,fifa_rank,fifa_points
1998,id50,1998-05-20,Brazil,BRA,1,72.0
1998,id50,1998-05-20,Germany,GER,2,65.0
1998,id50,1998-05-20,Czech Republic,CZE,3,65.0
1998,id50,1998-05-20,Mexico,MEX,4,61.0
1998,id50,1998-05-20,England,ENG,5,60.0
1998,id50,1998-05-20,Argentina,ARG,6,60.0
1998,id50,1998-05-20,Norway,NOR,7,60.0
1998,id50,1998-05-20,Yugoslavia,YUG,8,59.0
1998,id50,1998-05-20,Chile,CHI,9,59.0
1998,id50,1998-05-20,Colombia,COL,10,58.0
1998,id50,1998-05-20,USA,USA,11,58.0
1998,id50,1998-05-20,Japan,JPN,12,58.0
1998,id50,1998-05-20,Morocco,MAR,13,57.0
1998,id50,1998-05-20,Italy,ITA,14,57.0
1998,id50,1998-05-20,Spain,ESP,15,56.0
1998,id50,1998-05-20,Russia,RUS,16,56.0
1998,id50,1998-05-20,Egypt,EGY,17,56.0
1998,id50,1998-05-20,France,FRA,18,56.0
1998,id50,1998-05-20,Croatia,CRO,19,56.0
1998,id50,1998-05-20,South Korea,KOR,20,55.0
1998,id50,1998-05-20,Tunisia,TUN,21,55.0
1998,id50,1998-05-20,Romania,ROU,22,55.0
1998,id50,1998-05-20,Zambia,ZAM,23,55.0
1998,id50,1998-05-20,South Africa,RSA,24,55.0
1998,id50,1998-05-20,Netherlands,NED,25,54.0
1998,id50,1998-05-20,Ecuador,ECU,26,53.0
1998,id50,1998-05-20,Denmark,DEN,27,53.0
1998,id50,1998-05-20,Sweden,SWE,28,53.0
1998,id50,1998-05-20,Paraguay,PAR,29,52.0
1998,id50,1998-05-20,Jamaica,JAM,30,52.0
1998,id50,1998-05-20,Austria,AUT,31,52.0
1998,id50,1998-05-20,Australia,AUS,32,52.0
1998,id50,1998-05-20,Bolivia,BOL,33,51.0
1998,id50,1998-05-20,Saudi Arabia,KSA,34,51.0
1998,id50,1998-05-20,Bulgaria,BUL,35,50.0
1998,id50,1998-05-20,Belgium,BEL,36,50.0
1998,id50,1998-05-20,Peru,PER,37,50.0
1998,id50,1998-05-20,Uruguay,URU,38,50.0
1998,id50,1998-05-20,Portugal,POR,39,49.0
1998,id50,1998-05-20,Slovakia,SVK,40,49.0
1998,id50,1998-05-20,Scotland,SCO,41,48.0
1998,id50,1998-05-20,Iran,IRN,42,48.0
1998,id50,1998-05-20,Kuwait,KUW,43,47.0
1998,id50,1998-05-20,Ivory Coast,CIV,44,47.0
1998,id50,1998-05-20,Lithuania,LTU,45,47.0
1998,id50,1998-05-20,Republic of Ireland,IRL,46,46.0
1998,id50,1998-05-20,Israel,ISR,47,46.0
1998,id50,1998-05-20,Trinidad and Tobago,TRI,48,45.0
1998,id50,1998-05-20,Cameroon,CMR,49,45.0
1998,id50,1998-05-20,Thailand,THA,50,45.0
1998,id50,1998-05-20,China PR,CHN,51,45.0
1998,id50,1998-05-20,Georgia,GEO,52,45.0
1998,id50,1998-05-20,Turkey,TUR,53,45.0
1998,id50,1998-05-20,Poland,POL,54,44.0
1998,id50,1998-05-20,Greece,GRE,55,44.0
1998,id50,1998-05-20,Angola,ANG,56,44.0
1998,id50,1998-05-20,Algeria,ALG,57,43.0
1998,id50,1998-05-20,Costa Rica,CRC,58,43.0
1998,id50,1998-05-20,United Arab Emirates,UAE,59,43.0
1998,id50,1998-05-20,Guinea,GUI,60,43.0
1998,id50,1998-05-20,Finland,FIN,61,42.0
1998,id50,1998-05-20,Hungary,HUN,62,42.0
1998,id50,1998-05-20,Zaire,ZAI,63,41.0
1998,id50,1998-05-20,Ukraine,UKR,64,40.0
1998,id50,1998-05-20,Ghana,GHA,65,40.0
1998,id50,1998-05-20,Mali,MLI,66,40.0
1998,id50,1998-05-20,Burkina Faso,BFA,67,39.0
1998,id50,1998-05-20,El Salvador,SLV,68,39.0
1998,id50,1998-05-20,Mozambique,MOZ,69,39.0
1998,id50,1998-05-20,Qatar,QAT,70,38.0
1998,id50,1998-05-20,FYR Macedonia,MKD,71,38.0
1998,id50,1998-05-20,Iceland,ISL,72,37.0
1998,id50,1998-05-20,Togo,TOG,73,37.0
1998,id50,1998-05-20,Nigeria,NGA,74,37.0
1998,id50,1998-05-20,Guatemala,GUA,75,37.0
