year,team_name,team_code,performance,ccs,ccs_source_years,prior_windows,source,evaluable
1930,Argentina,ARG,final,0,,,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1930,Belgium,BEL,group stage,0,,,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1930,Bolivia,BOL,group stage,0,,,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1930,Brazil,BRA,group stage,0,,,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1930,Chile,CHL,group stage,0,,,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1930,France,FRA,group stage,0,,,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1930,Mexico,MEX,group stage,0,,,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1930,Paraguay,PRY,group stage,0,,,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1930,Peru,PER,group stage,0,,,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1930,Romania,ROU,group stage,0,,,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1930,USA,USA,semi-finals,0,,,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1930,Uruguay,URY,final,0,,,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1930,Yugoslavia,YUG,semi-finals,0,,,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Argentina,ARG,round of 16,1,1930,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Austria,AUT,third-place match,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Belgium,BEL,round of 16,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Brazil,BRA,round of 16,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Czechoslovakia,CSK,final,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Egypt,EGY,round of 16,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,France,FRA,round of 16,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Germany,DEU,third-place match,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Hungary,HUN,quarter-finals,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Italy,ITA,final,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Netherlands,NLD,round of 16,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Romania,ROU,round of 16,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Spain,ESP,quarter-finals,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Sweden,SWE,quarter-finals,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,Switzerland,CHE,quarter-finals,0,,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1934,USA,USA,round of 16,1,1930,1930,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,0
1938,Belgium,BEL,round of 16,0,,1930;1934,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1938,Brazil,BRA,third-place match,0,,1930;1934,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1938,Cuba,CUB,quarter-finals,0,,1930;1934,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1938,Czechoslovakia,CSK,quarter-finals,1,1934,1930;1934,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1938,Dutch East Indies,IDN,round of 16,0,,1930;1934,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1938,France,FRA,quarter-finals,0,,1930;1934,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1938,Germany,DEU,round of 16,1,1934,1930;1934,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
