year,team_name,champion,prior_windows,prior_participated_both,path_contact,clean_non_contact,contact_reasons
1938,Belgium,0,1930;1934,1,0,1,
1938,Brazil,0,1930;1934,1,0,1,
1938,Cuba,0,1930;1934,0,0,0,
1938,Czechoslovakia,0,1930;1934,0,0,0,
1938,Dutch East Indies,0,1930;1934,0,0,0,
1938,France,0,1930;1934,1,0,1,
1938,Germany,0,1930;1934,0,0,0,
1938,Hungary,0,1930;1934,0,0,0,
1938,Italy,1,1930;1934,0,0,0,
1938,Netherlands,0,1930;1934,0,0,0,
1938,Norway,0,1930;1934,0,0,0,
1938,Poland,0,1930;1934,0,0,0,
1938,Romania,0,1930;1934,1,1,0,1934: lost to Czechoslovakia (runner-up) in round of 16
1938,Sweden,0,1930;1934,0,0,0,
1938,Switzerland,0,1930;1934,0,0,0,
1950,Bolivia,0,1934;1938,0,0,0,
1950,Brazil,0,1934;1938,1,1,0,1938: lost to Italy (champion) in semi-finals
1950,Chile,0,1934;1938,0,0,0,
1950,England,0,1934;1938,0,0,0,
1950,Italy,0,1934;1938,1,1,0,1934: own champion | 1938: own champion
1950,Mexico,0,1934;1938,0,0,0,
1950,Paraguay,0,1934;1938,0,0,0,
1950,Spain,0,1934;1938,0,0,0,
1950,Sweden,0,1934;1938,1,1,0,1938: lost to Hungary (runner-up) in semi-finals
1950,Switzerland,0,1934;1938,1,1,0,1934: lost to Czechoslovakia (runner-up) in quarter-finals | 1938: lost to Hungary (runner-up) in quarter-finals
1950,USA,0,1934;1938,0,0,0,
1950,Uruguay,1,1934;1938,0,0,0,
1950,Yugoslavia,0,1934;1938,0,0,0,
1954,Austria,0,1938;1950,0,0,0,
1954,Belgium,0,1938;1950,0,0,0,
1954,Brazil,0,1938;1950,1,1,0,1938: lost to Italy (champion) in semi-finals
1954,Czechoslovakia,0,1938;1950,0,0,0,
1954,England,0,1938;1950,0,0,0,
1954,France,0,1938;1950,0,0,0,
1954,Germany,1,1938;1950,0,0,0,
1954,Hungary,0,1938;1950,0,0,0,
1954,Italy,0,1938;1950,1,1,0,1938: own champion
1954,Mexico,0,1938;1950,0,0,0,
1954,Scotland,0,1938;1950,0,0,0,
1954,South Korea,0,1938;1950,0,0,0,
1954,Switzerland,0,1938;1950,1,1,0,1938: lost to Hungary (runner-up) in quarter-finals
1954,Turkey,0,1938;1950,0,0,0,
1954,Uruguay,0,1938;1950,0,0,0,
1954,Yugoslavia,0,1938;1950,0,0,0,
1958,Argentina,0,1950;1954,0,0,0,
1958,Austria,0,1950;1954,0,0,0,
1958,Brazil,1,1950;1954,1,1,0,1954: lost to Hungary (runner-up) in quarter-finals
1958,Czechoslovakia,0,1950;1954,0,0,0,
1958,England,0,1950;1954,1,0,1,
1958,France,0,1950;1954,0,0,0,
