year,participants,ccs,post_ccs,top8_ccs,top4_ccs,final_ccs,champ_ccs,champion,champion_ccs,post_total,top8_total,top4_total,final_total,champ_total
1938,15,5,5,3,1,1,1,Italy,1,15,8,4,2,1
1950,13,5,3,3,3,1,0,Uruguay,0,4,4,4,2,1
1954,16,6,4,4,2,1,0,West Germany,0,8,8,4,2,1
1958,16,5,3,3,2,1,1,Brazil,1,8,8,4,2,1
1962,16,6,5,5,2,1,1,Brazil,1,8,8,4,2,1
1966,16,7,4,4,3,2,1,England,1,8,8,4,2,1
1970,16,6,5,5,3,1,1,Brazil,1,8,8,4,2,1
1974,16,5,3,3,2,1,1,West Germany,1,8,8,4,2,1
1978,16,6,5,5,3,1,0,Argentina,0,8,8,4,2,1
1982,24,2,2,2,1,1,0,Italy,0,12,12,4,2,1
1986,24,5,5,3,3,2,1,Argentina,1,16,8,4,2,1
1990,24,6,6,4,4,2,1,West Germany,1,16,8,4,2,1
1994,24,8,7,4,2,2,1,Brazil,1,16,8,4,2,1
1998,32,11,8,5,2,1,0,France,0,16,8,4,2,1
2002,32,9,6,3,1,1,1,Brazil,1,16,8,4,2,1
2006,32,10,6,5,3,2,1,Italy,1,16,8,4,2,1
2010,32,11,8,4,2,1,1,Spain,1,16,8,4,2,1
2014,32,9,5,4,3,1,1,Germany,1,16,8,4,2,1
2018,32,9,8,4,2,1,1,France,1,16,8,4,2,1
2022,32,11,7,6,3,2,1,Argentina,1,16,8,4,2,1
