year,participants,ccs,r16_ccs,qf_ccs,sf_ccs,final_ccs,champ_ccs,champion,champion_ccs,notes,r16_total,qf_total,sf_total,final_total,champ_total,ccs_share,champion_signal
1986,24,5,5,3,3,2,1,Argentina,1,1978 自己夺冠；1982 也有冠亚军链背景,16,8,4,2,1,0.20833333333333334,是
1990,24,6,6,4,4,2,1,West Germany,1,1982/1986 均处在冠军链中,16,8,4,2,1,0.25,是
1994,24,8,7,4,2,2,1,Brazil,1,1990 被亚军阿根廷淘汰,16,8,4,2,1,0.3333333333333333,是
1998,32,11,8,5,2,1,0,France,0,现代样本唯一非 CCS 冠军；此前两届未进决赛圈,16,8,4,2,1,0.34375,否
2002,32,9,6,3,1,1,1,Brazil,1,1998 被冠军法国淘汰,16,8,4,2,1,0.28125,是
2006,32,10,6,5,3,2,1,Italy,1,1998 被冠军法国淘汰,16,8,4,2,1,0.3125,是
2010,32,11,8,4,2,1,1,Spain,1,2006 被亚军法国淘汰,16,8,4,2,1,0.34375,是
2014,32,9,5,4,3,1,1,Germany,1,2006/2010 连续被冠军淘汰,16,8,4,2,1,0.28125,是
2018,32,9,8,4,2,1,1,France,1,2014 被冠军德国淘汰,16,8,4,2,1,0.28125,是
2022,32,11,7,6,3,2,1,Argentina,1,2014、2018 均被最终冠亚军淘汰,16,8,4,2,1,0.34375,是
