scope,model,label_en,label_zh,k,champion_hits,champions_considered,coverage
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,1,0,8,0.0
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,2,4,8,0.5
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,3,5,8,0.625
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,4,5,8,0.625
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,5,5,8,0.625
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,6,6,8,0.75
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,7,7,8,0.875
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,8,7,8,0.875
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,9,7,8,0.875
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,10,7,8,0.875
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,11,7,8,0.875
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,12,7,8,0.875
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,13,7,8,0.875
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,14,8,8,1.0
all_1994_2022,ccs_filtered_blend,CCS-filtered FIFA/Elo blend,CCS 过滤后 FIFA/Elo 组合,15,8,8,1.0
all_1994_2022,elo_rank,Elo rating,Elo,1,1,8,0.125
all_1994_2022,elo_rank,Elo rating,Elo,2,2,8,0.25
all_1994_2022,elo_rank,Elo rating,Elo,3,3,8,0.375
all_1994_2022,elo_rank,Elo rating,Elo,4,4,8,0.5
all_1994_2022,elo_rank,Elo rating,Elo,5,5,8,0.625
